"hide";"cieId";"descripcion";"descripcionOriginal";"sinonimos";"especialidad";"subespecialidad"
"";"00.23";"IMAGEN INTRAVASCULAR DE VASOS PERIFERICOS";"IMAGEN INTRAVASCULAR DE VASOS PERIFERICOS";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.24";"IMAGEN INTRAVASCULAR DE VASOS CORONARIOS";"IMAGEN INTRAVASCULAR DE VASOS CORONARIOS";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.25";"IMAGEN INTRAVASCULAR DE VASOS RENALES";"IMAGEN INTRAVASCULAR DE VASOS RENALES";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.28";"IMAGEN INTRAVASCULAR DE OTROS VASOS ESPECIFICADOS";"IMAGEN INTRAVASCULAR DE OTROS VASOS ESPECIFICADOS";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.29";"IMAGEN INTRAVASCULAR, VASO(S) NO ESPECIFICADOS";"IMAGEN INTRAVASCULAR, VASO(S) NO ESPECIFICADOS";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.3";"CIRUGIA ASISTIDA POR ORDENADOR [CAS]";"CIRUGIA ASISTIDA POR ORDENADOR [CAS]";"";"UNIVERSAL";""
"";"00.31";"CIRUGIA ASISTIDA POR ORDENADOR CON TC/TAC";"CIRUGIA ASISTIDA POR ORDENADOR CON TC/TAC";"";"UNIVERSAL";""
"";"00.32";"CIRUGIA ASISTIDA POR ORDENADOR CON RM/MRA";"CIRUGIA ASISTIDA POR ORDENADOR CON RM/MRA";"";"UNIVERSAL";""
"";"00.33";"CIRUGIA ASISTIDA POR ORDENADOR CON RADIOSCOPIA";"CIRUGIA ASISTIDA POR ORDENADOR CON RADIOSCOPIA";"";"UNIVERSAL";""
"";"00.34";"CIRUGIA ASISTIDA POR ORDENADOR SIN IMAGEN";"CIRUGIA ASISTIDA POR ORDENADOR SIN IMAGEN";"";"UNIVERSAL";""
"";"00.35";"CIRUGIA ASISTIDA POR ORDENADOR CON MULTIPLES DATOS";"CIRUGIA ASISTIDA POR ORDENADOR CON MULTIPLES DATOS";"";"UNIVERSAL";""
"";"00.39";"OTRA CIRUGIA ASISTIDA POR ORDENADOR";"OTRA CIRUGIA ASISTIDA POR ORDENADOR";"";"UNIVERSAL";""
"";"00.4";"PROCEDIMIENTOS AUXILIARES SOBRE EL SISTEMA VASCULAR";"PROCEDIMIENTOS AUXILIARES SOBRE EL SISTEMA VASCULAR";"";"CARDIOVASCULAR";""
"";"00.40";"PROCEDIMIENTO SOBRE UN SOLO VASO";"PROCEDIMIENTO SOBRE UN SOLO VASO";"";"CARDIOVASCULAR";""
"";"00.41";"PROCEDIMIENTO SOBRE DOS VASOS";"PROCEDIMIENTO SOBRE DOS VASOS";"";"CARDIOVASCULAR";""
"";"00.42";"PROCEDIMIENTO SOBRE TRES VASOS";"PROCEDIMIENTO SOBRE TRES VASOS";"";"CARDIOVASCULAR";""
"";"00.43";"PROCEDIMIENTO SOBRE CUATRO O MAS VASOS";"PROCEDIMIENTO SOBRE CUATRO O MAS VASOS";"";"CARDIOVASCULAR";""
"";"00.44";"PROCEDIMIENTO SOBRE BIFURCACION VASCULAR";"PROCEDIMIENTO SOBRE BIFURCACION VASCULAR";"";"CARDIOVASCULAR";""
"";"00.45";"INSERCION DE UN STENT VASCULAR";"INSERCION DE UN STENT VASCULAR";"";"CARDIOVASCULAR";""
"";"00.46";"INSERCION DE DOS STENTS VASCULARES";"INSERCION DE DOS STENTS VASCULARES";"";"CARDIOVASCULAR";""
"";"00.47";"INSERCION DE TRES STENTS VASCULARES";"INSERCION DE TRES STENTS VASCULARES";"";"CARDIOVASCULAR";""
"";"00.48";"INSERCION DE CUATRO O MAS STENTS VASCULARES";"INSERCION DE CUATRO O MAS STENTS VASCULARES";"";"CARDIOVASCULAR";""
"";"00.49";"OXIGENOTERAPIA SUPERSATURADA";"OXIGENOTERAPIA SUPERSATURADA";"";"CARDIOVASCULAR";""
"";"00.5";"OTROS PROCEDIMIENTOS CARDIOVASCULARES";"OTROS PROCEDIMIENTOS CARDIOVASCULARES";"";"CARDIOVASCULAR";""
"";"00.50";"IMPLANTACION DE MARCAPASOS DE RESINCRONIZACION CARDIACA SIN MENCION DE DESFIBRILACION, SISTEMA TOTAL [CRT P]";"IMPLANTACION DE MARCAPASOS DE RESINCRONIZACION CARDIACA SIN MENCION DE DESFIBRILACION, SISTEMA TOTAL [CRT P]";"";"CARDIOVASCULAR";""
"";"00.51";"IMPLANTACION DE DESFIBRILADOR DE RESINCRONIZACION CARDIACA, SISTEMA TOTAL [CRT D]";"IMPLANTACION DE DESFIBRILADOR DE RESINCRONIZACION CARDIACA, SISTEMA TOTAL [CRT D]";"";"CARDIOVASCULAR";""
"";"00.52";"IMPLANTACION O SUSTITUCION DE ELECTRODO DENTRO DEL SISTEMA VENOSO CORONARIO VENTRICULAR IZQUIERDO";"IMPLANTACION O SUSTITUCION DE ELECTRODO DENTRO DEL SISTEMA VENOSO CORONARIO VENTRICULAR IZQUIERDO";"";"CARDIOVASCULAR";""
"";"00.53";"IMPLANTACION O SUSTITUCION DE MARCAPASOS DE RESINCRONIZACION CARDIACA SOLO GENERADOR DE PULSO [CRT P]";"IMPLANTACION O SUSTITUCION DE MARCAPASOS DE RESINCRONIZACION CARDIACA SOLO GENERADOR DE PULSO [CRT P]";"";"CARDIOVASCULAR";""
"";"00.54";"IMPLANTACION O SUSTITUCION DE DESFIBRILADOR DE RESINCRONIZACION CARDIACA, SOLO DISPOSITIVO GENERADOR DE PULSO [CRT D]";"IMPLANTACION O SUSTITUCION DE DESFIBRILADOR DE RESINCRONIZACION CARDIACA, SOLO DISPOSITIVO GENERADOR DE PULSO [CRT D]";"";"CARDIOVASCULAR";""
"";"00.55";"INSERCION DE STENT(S) LIBERADOR(ES) DE FARMACO(S) EN OTRO(S) VASO(S) PERIFERICO(S)";"INSERCION DE STENT(S) LIBERADOR(ES) DE FARMACO(S) EN OTRO(S) VASO(S) PERIFERICO(S)";"";"CARDIOVASCULAR";""
"";"00.56";"INSERCION O SUSTITUCION DE SENSOR DE PRESION IMPLANTABLE (ELECTRODO) PARA MONITORIZACION HEMODINAMICA INTRACARDIACA O DE GRANDES VASOS";"INSERCION O SUSTITUCION DE SENSOR DE PRESION IMPLANTABLE (ELECTRODO) PARA MONITORIZACION HEMODINAMICA INTRACARDIACA O DE GRANDES VASOS";"";"CARDIOVASCULAR";""
"";"00.57";"IMPLANTACION O SUSTITUCION DE DISPOSITIVO SUBCUTANEO PARA MONITORIZACION HEMODINAMICA INTRACARDIACA O DE GRANDES VASOS";"IMPLANTACION O SUSTITUCION DE DISPOSITIVO SUBCUTANEO PARA MONITORIZACION HEMODINAMICA INTRACARDIACA O DE GRANDES VASOS";"";"CARDIOVASCULAR";""
"";"00.58";"INSERCION DE UN DISPOSITIVO DE MONITORIZACION DE LA PRESION DENTRO DEL SACO DEL ANEURISMA (INTRAOPERATORIO)";"INSERCION DE UN DISPOSITIVO DE MONITORIZACION DE LA PRESION DENTRO DEL SACO DEL ANEURISMA (INTRAOPERATORIO)";"";"CARDIOVASCULAR";""
"";"00.59";"MEDICION DE PRESION INTRAVASCULAR DE ARTERIAS CORONARIAS";"MEDICION DE PRESION INTRAVASCULAR DE ARTERIAS CORONARIAS";"";"CARDIOVASCULAR";""
"";"00.6";"PROCEDIMIENTOS SOBRE VASOS SANGUINEOS";"PROCEDIMIENTOS SOBRE VASOS SANGUINEOS";"";"CARDIOVASCULAR";""
"";"00.60";"INSERCION DE STENT(S) LIBERADOR DE FARMACOS DE ARTERIA FEMORAL SUPERFICIAL";"INSERCION DE STENT(S) LIBERADOR DE FARMACOS DE ARTERIA FEMORAL SUPERFICIAL";"";"CARDIOVASCULAR";""
"";"00.61";"ANGIOPLASTIA PERCUTANEA DE VASO(S) PRECEREBRAL(ES) (EXTRACRANEALES)";"ANGIOPLASTIA PERCUTANEA DE VASO(S) PRECEREBRAL(ES) (EXTRACRANEALES)";"";"CARDIOVASCULAR";""
"";"00.62";"ANGIOPLASTIA PERCUTANEA DE VASO(S) INTRACRANEAL(ES)";"ANGIOPLASTIA PERCUTANEA DE VASO(S) INTRACRANEAL(ES)";"";"CARDIOVASCULAR";""
"";"00.63";"INSERCION PERCUTANEA DE STENT(S) DE ARTERIA CAROTIDA";"INSERCION PERCUTANEA DE STENT(S) DE ARTERIA CAROTIDA";"";"CARDIOVASCULAR";""
"";"00.64";"INSERCION PERCUTÁNEA DE STENT (S) DE OTRA ARTERIA (EXTRACRANEAL)";"INSERCION PERCUTÁNEA DE STENT (S) DE OTRA ARTERIA (EXTRACRANEAL)";"";"CARDIOVASCULAR";""
"";"00.65";"INSERCION PERCUTANEA DE STENT(S) VASCULAR INTRACRANEAL";"INSERCION PERCUTANEA DE STENT(S) VASCULAR INTRACRANEAL";"";"CARDIOVASCULAR";""
"";"00.66";"ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA [ACTP]";"ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA [ACTP]";"";"CARDIOVASCULAR";""
"";"00.67";"MEDICION DE LA PRESION INTRAVASCULAR DE ARTERIAS INTRATORACICAS";"MEDICION DE LA PRESION INTRAVASCULAR DE ARTERIAS INTRATORACICAS";"";"CARDIOVASCULAR";""
"";"00.68";"MEDICION DE PRESION INTRAVASCULAR DE ARTERIAS PERIFERICAS";"MEDICION DE PRESION INTRAVASCULAR DE ARTERIAS PERIFERICAS";"";"CARDIOVASCULAR";""
"";"00.69";"MEDICION DE LA PRESION INTRAVASCULAR DE OTROS VASOS ESPECIFICADOS Y DE LOS NO ESPECIFICADOS";"MEDICION DE LA PRESION INTRAVASCULAR DE OTROS VASOS ESPECIFICADOS Y DE LOS NO ESPECIFICADOS";"";"CARDIOVASCULAR";""
"";"00.7";"OTROS PROCEDIMIENTOS SOBRE CADERA";"OTROS PROCEDIMIENTOS SOBRE CADERA";"";"TRAUMATOLOGIA";""
"";"00.70";"REVISION DE SUSTITUCION DE CADERA, COMPONENTES ACETABULAR Y FEMORAL";"REVISION DE SUSTITUCION DE CADERA, COMPONENTES ACETABULAR Y FEMORAL";"";"TRAUMATOLOGIA";""
"";"00.71";"REVISION DE SUSTITUCION DE CADERA, COMPONENTE ACETABULAR";"REVISION DE SUSTITUCION DE CADERA, COMPONENTE ACETABULAR";"";"TRAUMATOLOGIA";""
"";"00.72";"REVISION DE SUSTITUCION DE CADERA, COMPONENTE FEMORAL";"REVISION DE SUSTITUCION DE CADERA, COMPONENTE FEMORAL";"";"TRAUMATOLOGIA";""
"";"00.73";"REVISION DE SUSTITUCION DE CADERA, SOLO ALINEADOR ACETABULAR Y/O CABEZA FEMORAL";"REVISION DE SUSTITUCION DE CADERA, SOLO ALINEADOR ACETABULAR Y/O CABEZA FEMORAL";"";"TRAUMATOLOGIA";""
"";"00.74";"SUPERFICIE DE APOYO DE CADERA, METAL SOBRE POLIETILENO";"SUPERFICIE DE APOYO DE CADERA, METAL SOBRE POLIETILENO";"";"TRAUMATOLOGIA";""
"";"00.75";"SUPERFICIE DE APOYO DE CADERA, METAL SOBRE METAL";"SUPERFICIE DE APOYO DE CADERA, METAL SOBRE METAL";"";"TRAUMATOLOGIA";""
"";"00.76";"SUPERFICIE DE APOYO DE CADERA, CERAMICA SOBRE CERAMICA";"SUPERFICIE DE APOYO DE CADERA, CERAMICA SOBRE CERAMICA";"";"TRAUMATOLOGIA";""
"";"00.77";"SUPERFICIE DE APOYO DE CADERA, CERAMICA SOBRE POLIETILENO";"SUPERFICIE DE APOYO DE CADERA, CERAMICA SOBRE POLIETILENO";"";"TRAUMATOLOGIA";""
"";"00.8";"OTROS PROCEDIMIENTOS DE RODILLA Y CADERA";"OTROS PROCEDIMIENTOS DE RODILLA Y CADERA";"";"TRAUMATOLOGIA";""
"";"00.80";"REVISION DE SUSTITUCION DE RODILLA, TOTAL (TODOS LOS COMPONENTES)";"REVISION DE SUSTITUCION DE RODILLA, TOTAL (TODOS LOS COMPONENTES)";"";"TRAUMATOLOGIA";""
"";"00.81";"REVISION DE SUSTITUCION DE RODILLA, COMPONENTE TIBIAL";"REVISION DE SUSTITUCION DE RODILLA, COMPONENTE TIBIAL";"";"TRAUMATOLOGIA";""
"";"00.82";"REVISION DE SUSTITUCION DE RODILLA, COMPONENTE FEMORAL";"REVISION DE SUSTITUCION DE RODILLA, COMPONENTE FEMORAL";"";"TRAUMATOLOGIA";""
"";"00.83";"REVISION DE SUSTITUCION DE RODILLA, COMPONENTE ROTULIANO";"REVISION DE SUSTITUCION DE RODILLA, COMPONENTE ROTULIANO";"";"TRAUMATOLOGIA";""
"";"00.84";"REVISION DE SUSTITUCION TOTAL DE RODILLA, INSERCION (ALINEADOR) TIBIAL";"REVISION DE SUSTITUCION TOTAL DE RODILLA, INSERCION (ALINEADOR) TIBIAL";"";"TRAUMATOLOGIA";""
"";"00.85";"RECUBRIMIENTO TOTAL DE CADERA, ACETABULO Y CABEZA FEMORAL";"RECUBRIMIENTO TOTAL DE CADERA, ACETABULO Y CABEZA FEMORAL";"";"TRAUMATOLOGIA";""
"";"00.86";"RECUBRIMIENTO PARCIAL DE CADERA, CABEZA FEMORAL";"RECUBRIMIENTO PARCIAL DE CADERA, CABEZA FEMORAL";"";"TRAUMATOLOGIA";""
"";"00.87";"RECUBRIMIENTO PARCIAL DE CADERA, ACETABULO";"RECUBRIMIENTO PARCIAL DE CADERA, ACETABULO";"";"TRAUMATOLOGIA";""
"";"00.9";"OTROS PROCEDIMIENTOS E INTERVENCIONES";"OTROS PROCEDIMIENTOS E INTERVENCIONES";"";"UNIVERSAL";""
"";"00.91";"TRASPLANTE PROCEDENTE DE DONANTE VIVO EMPARENTADO";"TRASPLANTE PROCEDENTE DE DONANTE VIVO EMPARENTADO";"";"UNIVERSAL";""
"";"00.92";"TRASPLANTE PROCEDENTE DE DONANTE VIVO NO EMPARENTADO";"TRASPLANTE PROCEDENTE DE DONANTE VIVO NO EMPARENTADO";"";"UNIVERSAL";""
"";"00.93";"TRASPLANTE PROCEDENTE DE CADAVER";"TRASPLANTE PROCEDENTE DE CADAVER";"";"UNIVERSAL";""
"";"00.94";"MONITORIZACION NEUROFISIOLOGICA INTRAOPERATORIA";"MONITORIZACION NEUROFISIOLOGICA INTRAOPERATORIA";"";"UNIVERSAL";""
"";"00.95";"INYECCION O INFUSION DE GLUCARPIDASA";"INYECCION O INFUSION DE GLUCARPIDASA";"";"UNIVERSAL";""
"";"01.0";"PUNCION CRANEAL";"PUNCION CRANEAL";"";"NEUROCIRUGIA";""
"";"01.01";"PUNCION CISTERNAL";"PUNCION CISTERNAL";"";"NEUROCIRUGIA";""
"";"01.02";"PUNCION VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTA";"PUNCION VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTA";"";"NEUROCIRUGIA";""
"";"01.09";"OTRA PUNCION CRANEAL";"OTRA PUNCION CRANEAL";"";"NEUROCIRUGIA";""
"";"01.1";"PROC.DIAGNOSTICOS SOBRE CRANEO, CEREBRO Y MENINGES CEREBRALE";"PROC.DIAGNOSTICOS SOBRE CRANEO, CEREBRO Y MENINGES CEREBRALE";"";"NEUROCIRUGIA";""
"";"01.10";"MONITORIZACION DE LA PRESION INTRACRANEAL";"MONITORIZACION DE LA PRESION INTRACRANEAL";"";"NEUROCIRUGIA";""
"";"01.11";"BIOPSIA PERCUTANEA DE MENINGES CEREBRALES";"BIOPSIA PERCUTANEA DE MENINGES CEREBRALES";"";"NEUROCIRUGIA";""
"";"01.12";"BIOPSIAS DE MENINGES CEREBRALES ABIERTAS";"BIOPSIAS DE MENINGES CEREBRALES ABIERTAS";"";"NEUROCIRUGIA";""
"";"01.13";"BIOPSIA PERCUTANEA, AGUJA, DE CEREBRO CERRADA";"BIOPSIA PERCUTANEA, AGUJA, DE CEREBRO CERRADA";"";"NEUROCIRUGIA";""
"";"01.14";"BIOPSIAS DE CEREBRO ABIERTAS";"BIOPSIAS DE CEREBRO ABIERTAS";"";"NEUROCIRUGIA";""
"";"01.15";"BIOPSIA DE CRANEO";"BIOPSIA DE CRANEO";"";"NEUROCIRUGIA";""
"";"01.16";"MONITORIZACION DEL OXIGENO INTRACRANEAL";"MONITORIZACION DEL OXIGENO INTRACRANEAL";"";"NEUROCIRUGIA";""
"";"01.17";"MONITORIZACION DE LA TEMPERATURA CEREBRAL";"MONITORIZACION DE LA TEMPERATURA CEREBRAL";"";"NEUROCIRUGIA";""
"";"01.18";"OTROS PROCEDIMIENT.DIAGNOST. SOBRE CEREBRO Y MENINGES CEREBR";"OTROS PROCEDIMIENT.DIAGNOST. SOBRE CEREBRO Y MENINGES CEREBR";"";"NEUROCIRUGIA";""
"";"01.19";"OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE EL CRANEO";"OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE EL CRANEO";"";"NEUROCIRUGIA";""
"";"01.2";"CRANEOTOMIA Y CRANIECTOMIA";"CRANEOTOMIA Y CRANIECTOMIA";"";"NEUROCIRUGIA";""
"";"01.20";"IMPLANTACION O SUSTITUCION CRANEAL DE NEUROESTIMULADOR GENERADOR DE PULSO";"IMPLANTACION O SUSTITUCION CRANEAL DE NEUROESTIMULADOR GENERADOR DE PULSO";"";"NEUROCIRUGIA";""
"";"01.21";"INCISION Y DRENAJE DE SENO CRANEAL";"INCISION Y DRENAJE DE SENO CRANEAL";"";"NEUROCIRUGIA";""
"";"01.22";"EXTRACCION DE AGUJA(S) DE NEUROESTIMULADOR INTRACRANEAL";"EXTRACCION DE AGUJA(S) DE NEUROESTIMULADOR INTRACRANEAL";"";"NEUROCIRUGIA";""
"";"01.23";"REAPERTURA DE CRANEOTOMIA";"REAPERTURA DE CRANEOTOMIA";"";"NEUROCIRUGIA";""
"";"01.24";"OTRAS CRANEOTOMIAS";"OTRAS CRANEOTOMIAS";"";"NEUROCIRUGIA";""
"";"01.25";"OTRAS CRANIECTOMIAS";"OTRAS CRANIECTOMIAS";"";"NEUROCIRUGIA";""
"";"01.26";"INSERCION DE CATETER(ES) EN CAVIDAD O TEJIDO CRANEAL";"INSERCION DE CATETER(ES) EN CAVIDAD O TEJIDO CRANEAL";"";"NEUROCIRUGIA";""
"";"01.27";"RETIRADA DE CATETER(ES) DE CAVIDAD O TEJIDO CRANEAL";"RETIRADA DE CATETER(ES) DE CAVIDAD O TEJIDO CRANEAL";"";"NEUROCIRUGIA";""
"";"01.28";"COLOCACION DE CATETER(ES) INTRACEREBRAL(ES) A TRAVES DE AGUJERO(S) DE TREPANO";"COLOCACION DE CATETER(ES) INTRACEREBRAL(ES) A TRAVES DE AGUJERO(S) DE TREPANO";"";"NEUROCIRUGIA";""
"";"01.29";"EXTRACCION DE GENERADOR DE PULSOS DE NEUROESTIMULADOR CRANEAL";"EXTRACCION DE GENERADOR DE PULSOS DE NEUROESTIMULADOR CRANEAL";"";"NEUROCIRUGIA";""
"";"01.3";"INCISION DE CEREBRO Y MENINGES CEREBRALES";"INCISION DE CEREBRO Y MENINGES CEREBRALES";"";"NEUROCIRUGIA";""
"";"01.31";"INCISION DE MENINGES CEREBRALES";"INCISION DE MENINGES CEREBRALES";"";"NEUROCIRUGIA";""
"";"01.32";"LOBOTOMIA Y TRACTOTOMIA";"LOBOTOMIA Y TRACTOTOMIA";"";"NEUROCIRUGIA";""
"";"01.39";"OTRAS INCISIONES CEREBRALES";"OTRAS INCISIONES CEREBRALES";"";"NEUROCIRUGIA";""
"";"01.4";"OPERACIONES SOBRE TALAMO Y GLOBO PALIDO";"OPERACIONES SOBRE TALAMO Y GLOBO PALIDO";"";"NEUROCIRUGIA";""
"";"01.41";"OPERACIONES SOBRE TALAMO";"OPERACIONES SOBRE TALAMO";"";"NEUROCIRUGIA";""
"";"01.42";"OPERACIONES SOBRE GLOBO PALIDO";"OPERACIONES SOBRE GLOBO PALIDO";"";"NEUROCIRUGIA";""
"";"01.5";"OTRAS EXCISIONES O DESTRUCCIONES DE CEREBRO Y MENINGES";"OTRAS EXCISIONES O DESTRUCCIONES DE CEREBRO Y MENINGES";"";"NEUROCIRUGIA";""
"";"01.51";"ESCISION DE LESION O TEJIDO DE MENINGES CEREBRALES";"ESCISION DE LESION O TEJIDO DE MENINGES CEREBRALES";"";"NEUROCIRUGIA";""
"";"01.52";"HEMISFERECTOMIA";"HEMISFERECTOMIA";"";"NEUROCIRUGIA";""
"";"01.53";"LOBECTOMIA CEREBRAL";"LOBECTOMIA CEREBRAL";"";"NEUROCIRUGIA";""
"";"01.59";"OTRAS ESCISIONES O DESTRUCCIONES DE LESION O TEJIDO CEREBRAL";"OTRAS ESCISIONES O DESTRUCCIONES DE LESION O TEJIDO CEREBRAL";"";"NEUROCIRUGIA";""
"";"01.6";"ESCISION DE LESION CRANEAL";"ESCISION DE LESION CRANEAL";"";"NEUROCIRUGIA";""
"";"02.0";"CRANEOPLASTIA";"CRANEOPLASTIA";"";"NEUROCIRUGIA";""
"";"02.01";"APERTURA DE SUTURA CRANEAL";"APERTURA DE SUTURA CRANEAL";"";"NEUROCIRUGIA";""
"";"02.02";"ELEVACION DE FRAGMENTOS DE FRACTURA DE CRANEO";"ELEVACION DE FRAGMENTOS DE FRACTURA DE CRANEO";"";"NEUROCIRUGIA";""
"";"02.03";"FORMACION DE PLIEGUE DE HUESO CRANEAL";"FORMACION DE PLIEGUE DE HUESO CRANEAL";"";"NEUROCIRUGIA";""
"";"02.04";"INJERTO OSEO DE CRANEO";"INJERTO OSEO DE CRANEO";"";"NEUROCIRUGIA";""
"";"02.05";"COLOCACION DE PLACA CRANEAL";"COLOCACION DE PLACA CRANEAL";"";"NEUROCIRUGIA";""
"";"02.06";"OTRAS OSTEOPLASTIAS CRANEALES";"OTRAS OSTEOPLASTIAS CRANEALES";"";"NEUROCIRUGIA";""
